trans_id,lang,translation
くるりんばす,ja,くるりんばす
くるりんばす,en,Kururin Bus
愛知県日進市市民生活部安全課,ja,愛知県日進市市民生活部安全課
愛知県日進市市民生活部安全課,en,Nisshin City (Aichi Prefecture)
赤池線,ja,赤池線
赤池線,en,Akaike Line
米野木線,ja,米野木線
米野木線,en,Komenoki Line
三本木線,ja,三本木線
三本木線,en,Sanbongi Line
梅森線,ja,梅森線
梅森線,en,Umemori Line
五色園線,ja,五色園線
五色園線,en,Goshikien Line
岩崎線,ja,岩崎線
岩崎線,en,Iwasaki Line
循環線,ja,循環線
循環線,en,Loop Line (Junkan)
市役所,ja,市役所
市役所,en,Nisshin City Hall
図書館,ja,図書館
図書館,en,Nisshin City Library
浅間下,ja,浅間下
浅間下,en,Sengenshita
笠寺山,ja,笠寺山
笠寺山,en,Kasaderayama
日進駅,ja,日進駅
日進駅,en,Nisshin Station
日進駅南,ja,日進駅南
日進駅南,en,Nisshin Station South
南ヶ丘北,ja,南ヶ丘北
南ヶ丘北,en,Minamigaoka North
南ヶ丘南,ja,南ヶ丘南
南ヶ丘南,en,Minamigaoka South
藤塚六丁目,ja,藤塚六丁目
藤塚六丁目,en,Fujitsuka 6-chome
高松池,ja,高松池
高松池,en,Takamatsu Pond
鎌ヶ寿,ja,鎌ヶ寿
鎌ヶ寿,en,Kamagasu
藤塚,ja,藤塚
藤塚,en,Fujitsusuka
上ノ山,ja,上ノ山
上ノ山,en,Uenoyama
浅田区民会館,ja,浅田区民会館
浅田区民会館,en,Asada Kumin Hall
平子,ja,平子
平子,en,Hirako
箕ノ手北,ja,箕ノ手北
箕ノ手北,en,Minote North
赤池駅南,ja,赤池駅南
赤池駅南,en,Akaike Station South
赤池駅,ja,赤池駅
赤池駅,en,Akaike Station
赤池小学校,ja,赤池小学校
赤池小学校,en,Akaike Elementary School
赤池南一丁目,ja,赤池南一丁目
赤池南一丁目,en,Akaikeminami 1-chome
箕ノ手西,ja,箕ノ手西
箕ノ手西,en,Minote West
箕ノ手中央,ja,箕ノ手中央
箕ノ手中央,en,Minote Chuo
箕ノ手東,ja,箕ノ手東
箕ノ手東,en,Minote East
平子南,ja,平子南
平子南,en,Hirako South
藤塚南,ja,藤塚南
藤塚南,en,Fujitsuka South
おりど病院,ja,おりど病院
おりど病院,en,Orido Hospital
市役所東,ja,市役所東
市役所東,en,Nisshin City Hall East
日生東山,ja,日生東山
日生東山,en,Nisseihigashiyama
寺脇,ja,寺脇
寺脇,en,Terawaki
東山グランド,ja,東山グランド
東山グランド,en,Higashiyama Ground
日東東山,ja,日東東山
日東東山,en,Nittohigashiyama
日東東山北,ja,日東東山北
